"Case Number";"Season";"Year";"Type";"Country";"Area";"Sex";"Fatal (Y/N)";"Species";"original order"
"2003.06.26";"Summer";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4539
"2003.06.30";"Summer";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4540
"2003.07.00.c";"Summer";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Hammerhead Shark";4543
"2003.07.05.a";"Summer";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4545
"2003.07.05.b";"Summer";"2003";"Provoked";"USA";"Florida";"M";"N";"Unknown";4546
"2003.07.15";"Summer";"2003";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4548
"2003.07.20";"Summer";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4549
"2003.08.19";"Summer";"2003";"Unprovoked";"USA";"California";"F";"Y";"White Shark";4553
"2003.08.29";"Summer";"2003";"Provoked";"USA";"Texas";"M";"N";"Bull Shark";4554
"2003.09.00";"Fall";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4555
"2003.09.13.a";"Fall";"2003";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";4557
"2003.09.13.b";"Fall";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4558
"2003.09.14.c";"Fall";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4561
"2003.09.17";"Fall";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4562
"2003.09.19";"Fall";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4563
"2003.09.21";"Fall";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4564
"2003.09.28";"Fall";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4565
"2003.10.05.a";"Fall";"2003";"Unprovoked";"USA";"Hawaii";"F";"N";"Unknown";4567
"2003.10.05.b";"Fall";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4568
"2003.10.05.c";"Fall";"2003";"Provoked";"USA";"Florida";"M";"N";"Unknown";4569
"2003.10.05.d";"Fall";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4570
"2003.10.05.e";"Fall";"2003";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4571
"2003.10.06";"Fall";"2003";"Invalid";"USA";"Florida";"M";"Y";"Not Shark";4572
"2003.10.14";"Fall";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4573
"2003.10.27";"Fall";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4575
"2003.10.31.a";"Fall";"2003";"Unprovoked";"USA";"Hawaii";"F";"N";"Tiger Shark";4576
"2003.10.31.c";"Fall";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4578
"2003.11.12.a";"Fall";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4583
"2003.11.22";"Fall";"2003";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4585
"2003.12.13.b";"Winter";"2003";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4591
"2004.03.16";"Spring";"2004";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4612
"2004.03.24";"Spring";"2004";"Unprovoked";"USA";"Hawaii";"F";"N";"Unknown";4614
"2004.03.27.a";"Spring";"2004";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4615
"2004.03.28";"Spring";"2004";"Unprovoked";"USA";"Florida";"M";"N";"Bull Shark";4617
"2004.03.31.a";"Spring";"2004";"Unprovoked";"USA";"Florida";"M";"N";"Bull Shark";4619
"2004.03.31.b";"Spring";"2004";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4620
"2004.04.07";"Spring";"2004";"Unprovoked";"USA";"Hawaii";"M";"Y";"Tiger Shark";4623
"2004.05.04";"Spring";"2004";"Unprovoked";"USA";"Texas";"M";"N";"Shortfin Mako Shark";4629
"2004.05.22.b";"Spring";"2004";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4632
"2004.05.23.a";"Spring";"2004";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4634
"2004.05.28";"Spring";"2004";"Unprovoked";"USA";"California";"M";"N";"Unknown";4635
"2004.05.29";"Spring";"2004";"Unprovoked";"USA";"Texas";"M";"N";"Unknown";4637
"2004.06.10.a";"Summer";"2004";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4639
"2004.06.14";"Summer";"2004";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4641
"2004.06.26.b";"Summer";"2004";"Unprovoked";"USA";"California";"M";"N";"White Shark";4643
"2004.07.02.a";"Summer";"2004";"Unprovoked";"USA";"Alabama";"M";"N";"Unknown";4644
"2004.07.25";"Summer";"2004";"Unprovoked";"USA";"Texas";"M";"N";"Bull Shark";4649
"2004.07.27.a";"Summer";"2004";"Unprovoked";"USA";"Texas";"F";"N";"Unknown";4650
"2004.07.27.b";"Summer";"2004";"Unprovoked";"USA";"North Carolina";"F";"N";"Unknown";4651
"2004.07.28";"Summer";"2004";"Unprovoked";"USA";"North Carolina";"F";"N";"Unknown";4652
"2004.07.31";"Summer";"2004";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4654
"2004.08.06";"Summer";"2004";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4657
"2004.08.15";"Summer";"2004";"Unprovoked";"USA";"California";"M";"Y";"White Shark";4658
"2004.08.20";"Summer";"2004";"Unprovoked";"USA";"California";"M";"N";"White Shark";4659
"2004.08.29";"Summer";"2004";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4661
"2004.09.04";"Fall";"2004";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";4662
"2004.09.20";"Fall";"2004";"Unprovoked";"USA";"Oregon";"M";"N";"White Shark";4665
"2004.10.01";"Fall";"2004";"Unprovoked";"USA";"California";"M";"N";"Unknown";4667
"2004.10.02";"Fall";"2004";"Unprovoked";"USA";"California";"M";"N";"Unknown";4668
"2004.10.09.b";"Fall";"2004";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4671
"2004.10.10";"Fall";"2004";"Unprovoked";"USA";"California";"M";"N";"White Shark";4672
"2004.11.11.b";"Fall";"2004";"Unprovoked";"USA";"California";"M";"N";"White Shark";4679
"2005.02.13";"Winter";"2005";"Unprovoked";"USA";"Florida";"M";"N";"Caribbean Reef Shark";4691
"2005.02.16";"Winter";"2005";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4692
"2005.02.22";"Winter";"2005";"Provoked";"USA";"Florida";"M";"N";"Nurse Shark";4693
"2005.03.12";"Spring";"2005";"Provoked";"USA";"New Mexico";"M";"N";"Sand Tiger Shark";4698
"2005.04.06";"Spring";"2005";"Unprovoked";"USA";"Florida";"F";"N";"Hammerhead Shark";4704
"2005.04.07";"Spring";"2005";"Unprovoked";"USA";"Texas";"M";"N";"Unknown";4705
"2005.04.13";"Spring";"2005";"Unprovoked";"USA";"Florida";"F";"N";"Blacktip Shark";4707
"2005.05.02";"Spring";"2005";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4712
"2005.05.02.R";"Spring";"2005";"Sea Disaster";"USA";"South Carolina";"M";"N";"Unknown";4713
"2005.05.27";"Spring";"2005";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4718
"2005.05.28";"Spring";"2005";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4719
"2005.06.02";"Summer";"2005";"Unprovoked";"USA";"Texas";"M";"N";"Unknown";4720
"2005.06.07";"Summer";"2005";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";4723
"2005.06.16";"Summer";"2005";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4725
"2005.06.25";"Summer";"2005";"Unprovoked";"USA";"Florida";"F";"Y";"Bull Shark";4729
"2005.06.27";"Summer";"2005";"Unprovoked";"USA";"Florida";"M";"N";"Bull Shark";4730
"2005.07.01";"Summer";"2005";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4731
"2005.07.13";"Summer";"2005";"Unprovoked";"USA";"Texas";"F";"N";"Unknown";4732
"2005.07.15";"Summer";"2005";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";4733
"2005.07.23";"Summer";"2005";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4738
"2005.07.27";"Summer";"2005";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4739
"2005.08.06";"Summer";"2005";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";4741
"2005.08.12";"Summer";"2005";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";4742
"2005.08.19";"Summer";"2005";"Unprovoked";"USA";"Texas";"M";"N";"Unknown";4744
"2005.08.21";"Summer";"2005";"Unprovoked";"USA";"South Carolina";"M";"N";"Blacktip Shark";4745
"2005.08.24.a";"Summer";"2005";"Unprovoked";"USA";"California";"M";"N";"White Shark";4747
"2005.09.02.b";"Fall";"2005";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4750
"2005.09.05";"Fall";"2005";"Unprovoked";"USA";"North Carolina";"F";"N";"Bull Shark";4752
"2005.09.11";"Fall";"2005";"Unprovoked";"USA";"South Carolina";"M";"Y";"Unknown";4754
"2005.09.20";"Fall";"2005";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";4755
"2005.10.06";"Fall";"2005";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4762
"2005.10.13";"Fall";"2005";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4764
"2005.10.15";"Fall";"2005";"Provoked";"USA";"Florida";"M";"N";"Unknown";4765
"2005.10.19";"Fall";"2005";"Unprovoked";"USA";"California";"F";"N";"White Shark";4766
"2005.10.21";"Fall";"2005";"Unprovoked";"USA";"California";"M";"N";"White Shark";4767
"2005.10.29";"Fall";"2005";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4770
"2005.11.02.a";"Fall";"2005";"Unprovoked";"USA";"California";"M";"N";"White Shark";4771
"2005.11.02.b";"Fall";"2005";"Unprovoked";"USA";"California";"M";"N";"Unknown";4772
"2005.11.12";"Fall";"2005";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4773
"2005.11.20";"Fall";"2005";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4776
"2005.11.21";"Fall";"2005";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4777
"2005.11.27";"Fall";"2005";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4782
"2005.11.29.R";"Fall";"2005";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4783
"2005.12.21";"Winter";"2005";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4787
"2005.12.24";"Winter";"2005";"Unprovoked";"USA";"Oregon";"M";"N";"White Shark";4788
"2006.01.04";"Winter";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4790
"2006.01.18";"Winter";"2006";"Unprovoked";"USA";"California";"M";"N";"Unknown";4794
"2006.02.01.a";"Winter";"2006";"Boating";"USA";"Hawaii";"M";"N";"Unknown";4798
"2006.02.27";"Winter";"2006";"Unprovoked";"USA";"Hawaii";"F";"N";"Unknown";4805
"2006.03.23";"Spring";"2006";"Unprovoked";"USA";"Hawaii";"F";"N";"Tiger Shark";4809
"2006.04.03";"Spring";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4811
"2006.04.13";"Spring";"2006";"Provoked";"USA";"Florida";"M";"N";"Bull Shark";4815
"2006.04.19";"Spring";"2006";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4816
"2006.04.21";"Spring";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4817
"2006.05.04";"Spring";"2006";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4820
"2006.05.10";"Spring";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4821
"2006.05.19";"Spring";"2006";"Unprovoked";"USA";"Guam";"F";"N";"Tiger Shark";4822
"2006.05.24";"Spring";"2006";"Provoked";"USA";"Hawaii";"M";"N";"Grey Reef Shark";4824
"2006.05.27";"Spring";"2006";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";4825
"2006.05.31";"Spring";"2006";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4827
"2006.06.07";"Summer";"2006";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";4829
"2006.06.15";"Summer";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4830
"2006.06.17";"Summer";"2006";"Unprovoked";"USA";"California";"M";"N";"Unknown";4831
"2006.06.20";"Summer";"2006";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4833
"2006.06.26";"Summer";"2006";"Provoked";"USA";"Florida";"M";"N";"Unknown";4835
"2006.06.27";"Summer";"2006";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4836
"2006.06.30.a";"Summer";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Blacktip Reef Shark";4837
"2006.06.30.b";"Summer";"2006";"Unprovoked";"USA";"Florida";"F";"N";"Blacktip Reef Shark";4838
"2006.07.08.a";"Summer";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4839
"2006.07.08.b";"Summer";"2006";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";4840
"2006.07.09.a";"Summer";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4841
"2006.07.09.b";"Summer";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4842
"2006.07.12";"Summer";"2006";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";4844
"2006.07.17";"Summer";"2006";"Unprovoked";"USA";"South Carolina";"M";"N";"Angel Shark";4846
"2006.07.23";"Summer";"2006";"Unprovoked";"USA";"Texas";"M";"N";"Bull Shark";4848
"2006.07.25";"Summer";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4849
"2006.07.29.a";"Summer";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4851
"2006.07.29.b";"Summer";"2006";"Invalid";"USA";"California";"M";"N";"Unknown";4852
"2006.07.31.a";"Summer";"2006";"Unprovoked";"USA";"Oregon";"M";"N";"White Shark";4853
"2006.08.00.b";"Summer";"2006";"Unprovoked";"USA";"North Carolina";"F";"N";"Unknown";4856
"2006.08.29.b";"Summer";"2006";"Unprovoked";"USA";"Oregon";"M";"N";"Unknown";4865
"2006.09.02";"Fall";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4867
"2006.09.03.a";"Fall";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4868
"2006.09.11";"Fall";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4871
"2006.09.14";"Fall";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Spinner Shark";4872
"2006.09.16";"Fall";"2006";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";4873
"2006.09.18.R";"Fall";"2006";"Provoked";"USA";"Florida";"M";"N";"Nurse Shark";4874
"2006.09.29";"Fall";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4875
"2006.10.05";"Fall";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4879
"2006.10.07";"Fall";"2006";"Unprovoked";"USA";"Texas";"M";"N";"Unknown";4880
"2006.10.10";"Fall";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4881
"2006.10.16";"Fall";"2006";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4882
"2006.10.31";"Fall";"2006";"Unprovoked";"USA";"Oregon";"M";"N";"White Shark";4883
"2006.11.11";"Fall";"2006";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";4885
"2006.12.10";"Winter";"2006";"Unprovoked";"USA";"California";"M";"N";"White Shark";4889
"2007.01.05";"Winter";"2007";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";4892
"2007.03.11";"Spring";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4904
"2007.03.14.R";"Spring";"2007";"Provoked";"USA";"Florida";"M";"N";"Unknown";4906
"2007.03.21";"Spring";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4908
"2007.03.31.a";"Spring";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4910
"2007.03.31.b";"Spring";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4911
"2007.04.01";"Spring";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4912
"2007.04.20";"Spring";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4915
"2007.04.22";"Spring";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4916
"2007.05.07.a";"Spring";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4920
"2007.05.07.b";"Spring";"2007";"Unprovoked";"USA";"Hawaii";"F";"N";"Tiger Shark";4921
"2007.05.10";"Spring";"2007";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4924
"2007.05.24";"Spring";"2007";"Provoked";"USA";"Virginia";"F";"N";"Blacktip Reef Shark";4928
"2007.05.26";"Spring";"2007";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";4929
"2007.06.12";"Summer";"2007";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4931
"2007.06.24";"Summer";"2007";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4933
"2007.06.25";"Summer";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4934
"2007.06.30.a";"Summer";"2007";"Unprovoked";"USA";"California";"F";"N";"Unknown";4935
"2007.06.30.b";"Summer";"2007";"Provoked";"USA";"Florida";"M";"N";"Lemon Shark";4936
"2007.07.05";"Summer";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4939
"2007.07.17.a";"Summer";"2007";"Unprovoked";"USA";"North Carolina";"F";"N";"Unknown";4941
"2007.07.18.b";"Summer";"2007";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";4944
"2007.07.19.b";"Summer";"2007";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";4946
"2007.07.21";"Summer";"2007";"Boating";"USA";"California";"M";"N";"White Shark";4947
"2007.07.22";"Summer";"2007";"Unprovoked";"USA";"California";"M";"N";"White Shark";4948
"2007.07.28";"Summer";"2007";"Unprovoked";"USA";"California";"M";"N";"Unknown";4949
"2007.07.29";"Summer";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4950
"2007.08.07";"Summer";"2007";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4951
"2007.08.09.a";"Summer";"2007";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";4952
"2007.08.09.b";"Summer";"2007";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";4953
"2007.08.11";"Summer";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4954
"2007.08.12";"Summer";"2007";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4955
"2007.08.15";"Summer";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4956
"2007.08.19.a.";"Summer";"2007";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";4957
"2007.08.19.b";"Summer";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4958
"2007.08.19.c";"Summer";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4959
"2007.08.20";"Summer";"2007";"Provoked";"USA";"Delaware";"M";"N";"Sand Tiger Shark";4960
"2007.08.22";"Summer";"2007";"Provoked";"USA";"North Carolina";"M";"N";"Sand Tiger Shark";4961
"2007.08.25";"Summer";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4962
"2007.08.26";"Summer";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4963
"2007.08.28.a";"Summer";"2007";"Unprovoked";"USA";"California";"M";"N";"White Shark";4964
"2007.08.28.b";"Summer";"2007";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4965
"2007.09.03.a";"Fall";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4966
"2007.09.03.b";"Fall";"2007";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4967
"2007.09.04";"Fall";"2007";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";4968
"2007.09.05";"Fall";"2007";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4969
"2007.09.08";"Fall";"2007";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4970
"2007.09.13";"Fall";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Nurse Shark";4971
"2007.09.16.a";"Fall";"2007";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4972
"2007.09.16.b";"Fall";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4973
"2007.09.20";"Fall";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4975
"2007.09.22.a";"Fall";"2007";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";4976
"2007.09.27.b";"Fall";"2007";"Unprovoked";"USA";"California";"F";"N";"White Shark";4979
"2007.09.30.c";"Fall";"2007";"Unprovoked";"USA";"California";"M";"N";"Unknown";4983
"2007.10.06";"Fall";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Blacktip Shark";4984
"2007.10.07";"Fall";"2007";"Unprovoked";"USA";"California";"M";"N";"Unknown";4985
"2007.10.29";"Fall";"2007";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4988
"2007.11.04";"Fall";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4991
"2007.11.06";"Fall";"2007";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";4992
"2007.12.10";"Winter";"2007";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";4998
"2008.00.00.b";"Fall";"2008";"Provoked";"USA";"Florida";"M";"N";"Nurse Shark";5005
"2008.01.10";"Winter";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5006
"2008.02.06";"Winter";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5012
"2008.02.15";"Winter";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5014
"2008.03.07";"Spring";"2008";"Unprovoked";"USA";"California";"M";"N";"White Shark";5017
"2008.03.15";"Spring";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Not Shark";5018
"2008.03.21";"Spring";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5019
"2008.03.23";"Spring";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5020
"2008.03.25";"Spring";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5027
"2008.03.28.a";"Spring";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5021
"2008.03.28.b";"Spring";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5022
"2008.04.03";"Spring";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5024
"2008.04.15";"Spring";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5029
"2008.04.20.b";"Spring";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5034
"2008.04.25";"Spring";"2008";"Unprovoked";"USA";"California";"M";"Y";"White Shark";5035
"2008.04.26.a";"Spring";"2008";"Provoked";"USA";"Florida";"M";"N";"Unknown";5036
"2008.04.27";"Spring";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5038
"2008.04.28.a";"Spring";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5039
"2008.05.07.a";"Spring";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5042
"2008.05.26";"Spring";"2008";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";5049
"2008.06.01.b";"Summer";"2008";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";5051
"2008.06.07";"Summer";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5053
"2008.06.20";"Summer";"2008";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";5055
"2008.06.21";"Summer";"2008";"Boating";"USA";"California";"F";"N";"White Shark";5056
"2008.06.26.a";"Summer";"2008";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";5058
"2008.06.26.b";"Summer";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5059
"2008.07.05";"Summer";"2008";"Unprovoked";"USA";"South Carolina";"F";"N";"Unknown";5065
"2008.07.09";"Summer";"2008";"Unprovoked";"USA";"North Carolina";"F";"N";"Unknown";5066
"2008.07.11";"Summer";"2008";"Unprovoked";"USA";"South Carolina";"M";"N";"Unknown";5067
"2008.07.19";"Summer";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5070
"2008.07.23";"Summer";"2008";"Provoked";"USA";"Florida";"M";"N";"Unknown";5071
"2008.07.24.a";"Summer";"2008";"Unprovoked";"USA";"North Carolina";"F";"N";"Unknown";5072
"2008.07.24.b";"Summer";"2008";"Unprovoked";"USA";"North Carolina";"M";"N";"Unknown";5073
"2008.07.25.a";"Summer";"2008";"Unprovoked";"USA";"Hawaii";"F";"N";"Unknown";5074
"2008.07.25.b";"Summer";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5075
"2008.07.26.a";"Summer";"2008";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";5076
"2008.08.11";"Summer";"2008";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";5081
"2008.08.12";"Summer";"2008";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";5082
"2008.08.16";"Summer";"2008";"Unprovoked";"USA";"US Virgin Islands";"F";"N";"Unknown";5083
"2008.08.20";"Summer";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5085
"2008.08.24";"Summer";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5087
"2008.08.27";"Summer";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5088
"2008.08.28";"Summer";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5089
"2008.09.00";"Fall";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5093
"2008.09.01";"Fall";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5094
"2008.09.06.a";"Fall";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5095
"2008.09.06.b";"Fall";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5096
"2008.09.08";"Fall";"2008";"Unprovoked";"USA";"California";"M";"N";"White Shark";5098
"2008.09.09";"Fall";"2008";"Unprovoked";"USA";"Hawaii";"M";"N";"Tiger Shark";5099
"2008.09.14";"Fall";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5100
"2008.09.28.a";"Fall";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5102
"2008.09.28.b";"Fall";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5103
"2008.10.08";"Fall";"2008";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5105
"2008.12.20";"Winter";"2008";"Boating";"USA";"California";"M";"N";"White Shark";5120
"2009.02.08";"Winter";"2009";"Sea Disaster";"USA";"Puerto Rico";"M";"Y";"Unknown";5145
"2009.03.17";"Spring";"2009";"Unprovoked";"USA";"Hawaii";"M";"N";"Unknown";5155
"2009.03.18.a";"Spring";"2009";"Unprovoked";"USA";"Florida";"F";"N";"Unknown";5157
"2009.04.03";"Spring";"2009";"Unprovoked";"USA";"Florida";"M";"N";"Unknown";5163
"2009.04.06.a";"Spring";"2009";"Unprovoked";"USA";"California";"M";"N";"White Shark";5164
